group	job
Oskus- ja käsitöölised	Täpsustamata oskustöölised
Oskus- ja käsitöölised	Üldehitajad
Oskus- ja käsitöölised	Puusepad
Oskus- ja käsitöölised	Ehitusviimistlejad jms töölised
Oskus- ja käsitöölised	Torulukksepad
Oskus- ja käsitöölised	Ehitusmaalrid jms töölised
Oskus- ja käsitöölised	Pihustusseadmetega värvijad-lakkijad
Oskus- ja käsitöölised	Lehtmetallitöölised, metallkonstruktsioonide valmistajad, valuvormide valmistajad, keevitajad jms töölised
Oskus- ja käsitöölised	Keevitajad ja leeklõikajad
Oskus- ja käsitöölised	Lehtmetallitöölised
Oskus- ja käsitöölised	Tööriistavalmistajad jms töölised
Oskus- ja käsitöölised	Masinamehaanikud ja -lukksepad
Oskus- ja käsitöölised	Mootorsõidukimehaanikud ja -lukksepad
Oskus- ja käsitöölised	Käsitöömeistrid ja täppisinstrumentide valmistajad
Oskus- ja käsitöölised	Trükiettevalmistajad
Oskus- ja käsitöölised	Trükkalid
Oskus- ja käsitöölised	Ehituselektrikud
Oskus- ja käsitöölised	Elektriseadmete mehaanikud ja paigaldajad
Oskus- ja käsitöölised	Elektroonikaseadmete mehaanikud ja hooldajad
Oskus- ja käsitöölised	Lihatöötlejad
Oskus- ja käsitöölised	Pagarid, kondiitrid ja maiustustevalmistajad
Oskus- ja käsitöölised	Puidutöötlejad, tislerid jms töölised
Oskus- ja käsitöölised	Tislerid jms töölised
Oskus- ja käsitöölised	Rätsepad, köösnerid ja kübarategijad
Oskus- ja käsitöölised	Rõiva- jms lekaalide valmistajad ning juurdelõikajad
Oskus- ja käsitöölised	Õmblejad, tikkijad jms töölised
Oskus- ja käsitöölised	Kingsepad jms töölised
Oskus- ja käsitöölised	Toodete (v.a toidud ja joogid) testijad
Seadmeoperaatorid ja -koostajad	Täpsustamata operaatorid
Seadmeoperaatorid ja -koostajad	Seadme- ja masinaoperaatorid
Seadmeoperaatorid ja -koostajad	Elektri- ja elektroonikaseadmete koostajad
Seadmeoperaatorid ja -koostajad	Koostajad, mujal liigitamata
Seadmeoperaatorid ja -koostajad	Sõiduauto-, takso- ja pakiautojuhid
Seadmeoperaatorid ja -koostajad	Bussi- ja trammijuhid
Seadmeoperaatorid ja -koostajad	Veoautojuhid
Seadmeoperaatorid ja -koostajad	Põllu- ja metsamasinate juhid
Seadmeoperaatorid ja -koostajad	Maaparandus-, tee- jms masinate juhid
Seadmeoperaatorid ja -koostajad	Kraana-, tõstuki- jm tõsteseadmete juhid
Seadmeoperaatorid ja -koostajad	Laeva tekimeeskond jms töötajad
Lihttöölised	Täpsustamata lihttöölised
Lihttöölised	Koristajad kodus, hotellis, kontoris jms asutustes
Lihttöölised	Aianduse lihttöölised
Lihttöölised	Töötleva tööstuse lihttöölised
Lihttöölised	Veonduse ja laonduse lihttöölised
Lihttöölised	Köögiabilised
Lihttöölised	Lihttöölised, mujal liigitamata
